,brand,image,ingredient,name,price,category
1,메저러블 디퍼런스,https://contents.lotteon.com/itemimage/LB/PD/10/01/82/48/_2/80/21/LBPD10018248_28021_1.jpg/dims/resizef/554X554,"정제수, 글리세린, 병풀추출물, 부틸렌글라이콜, 글라이콜릭애씨드, 향료, 페녹시에탄올, 프로필렌글라이콜, 잔탄검, 마트리카리아꽃추출물, 헥실렌글라이콜, 피이지-10하이드로제네이티드캐스터오일, 아이오도프로피닐부틸카바메이트",글라이콜릭 애씨드 30ml,"11,200원",스킨케어
2,바이오더마,https://contents.lotteon.com/itemimage/LB/PD/10/00/00/67/_3/22/LBPD10000067_322_1.jpg/dims/resizef/554X554,"정제수, 디카프릴릴카보네이트, 옥토크릴렌, [나노]메칠렌비스-벤조트리아조릴테트라메칠부틸페놀, 부틸메톡시디벤조일메탄, 글리세린, 메칠메타크릴레이트크로스폴리머, 사이클로헥사실록산, 사이클로펜타실록산, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 폴리메칠실세스퀴옥산, 메칠프로판디올, 에이치디아이/트리메칠올헥실락톤크로스폴리머, 씨20-22알킬포스페이트, 씨20-22알코올, 데실글루코사이드, 글리세릴스테아레이트시트레이트, 펜틸렌글라이콜, 마이크로크리스탈린셀룰로오스, C30-45알킬세테아릴디메치콘크로스폴리머, 1,2-헥산디올, 카프릴릴글라이콜, 디소듐이디티에이, 잔탄검, 만니톨, 자일리톨, 소듐하이드록사이드, 셀룰로오스검, 람노즈, 프로필렌글라이콜, 시트릭애씨드, 엑토인, 토코페롤",포토덤 아쿠아 플루이드 SPF50+,"22,400원",스킨케어
3,하다라보,https://contents.lotteon.com/itemimage/LB/PD/10/01/98/13/_3/03/05/LBPD10019813_30305_1.jpg/dims/resizef/554X554,"정제수,글리세린,다이프로필렌글라이콜,미네랄오일,다이메티콘,세틸알코올,트라이에틸헥사노인,하이드로제네이티드폴리(C6-12올레핀),락토코쿠스/하이알루로닉애씨드발효여과물,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,소듐아세틸레이티드하이알루로네이트,소듐하이알루로네이트크로스폴리머,아파노테케사크룸엑소폴리사카라이즈,알란토인,팔미틱애씨드,세틸포스페이트,알지닌,페녹시에탄올,카보머,다이소듐이디티에이,하이드록시에틸셀룰로오스,부틸렌글라이콜,펜틸렌글라이콜",고쿠쥰 프리미엄 밀크 140ml,"12,000원",스킨케어
4,라포티셀,https://contents.lotteon.com/itemimage/LB/PD/10/01/88/47/_2/89/15/LBPD10018847_28915_1.jpg/dims/resizef/554X554,"정제수, 다이프로필렌글라이콜, 글리세린, 글리세릴글루코사이드(24,000ppm), 나이아신아마이드, 프로판다이올, 1,2-헥산다이올, 부틸렌글라이콜, 베타인(5,000ppm), 암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머, 카프릴릴/카프릴글루코사이드, 에틸헥실글리세린, 하이드록시에틸셀룰로오스, 판테놀, 폴리글리세릴-10라우레이트, 폴리글리세릴-10미리스테이트, 펜틸렌글라이콜, 소듐하이알루로네이트(500ppm), 다이소듐이디티에이, 마데카소사이드, 목련나무껍질추출물, 애플민트잎추출물, 녹차추출물, 타임잎추출물, 글리세릴카프릴레이트, 타타릭애씨드, 향료",블레미쉬 아웃 세럼 55ml 기획(+크림10g),"14,200원",스킨케어
5,플로랑스네이처,https://contents.lotteon.com/itemimage/LB/PD/10/00/70/92/_1/11/29/LBPD10007092_11129_1.jpg/dims/resizef/554X554,"정제수, 글리세린, 로얄젤리, 옥틸도데칸올, C14-22알코올, 스쿠알란, 실리카, 코코-카프릴레이트, 카프릴릭/카프릭트라이글리세라이드, 카프릴로일글리세린/세바식애씨드코폴리머, 글리세릴카프릴레이트, 다이헵틸석시네이트, C12-20알킬글루코사이드,소듐하이알루로네이트, 알로에베라잎즙가루, 소듐레불리네이트, 세테아릴알코올, 향료, 잔탄검, 스클레로튬검, 팜커넬/코코글루코사이드, 리솔레시틴, 소듐벤조에이트,소듐아니세이트, 풀루란, 배더락스추출물, 시트릭애씨드, 토코페롤, 해바라기씨오일,소듐하이드록사이드, 리날룰, 리모넨, 유제놀,99% 유기농식물성분",퍼펙팅 세럼 30ml,"23,900원",스킨케어
6,하다라보,https://contents.lotteon.com/itemimage/LB/PD/10/01/93/17/_2/94/97/LBPD10019317_29497_1.jpg/dims/resizef/554X554,"하다라보 고쿠쥰 로션 : 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 다이글리세린, 피피지-10메틸글루코오스에터, 다이소듐석시네이트, 프로판다이올, 소듐하이알루로네이트, 다이소듐이디티에이, 하이드록시에틸셀룰로오스, 석시닉애씨드, 카프릴하이드록사믹애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 락토코쿠스/하이알루로닉애씨드발효여과물",고쿠쥰 로션 밀크 세트 (+140ml),"21,000원",스킨케어
7,비브,https://contents.lotteon.com/itemimage/LB/PD/10/01/92/01/_2/93/37/LBPD10019201_29337_1.jpg/dims/resizef/554X554,"정제수, 라우릴하이드록시설테인, 포타슘코코일글리시네이트, 글리세린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 소듐클로라이드, 마카다미아씨오일, 트로메타민, 라벤더오일, 초피나무열매추출물, 할미꽃추출물, 우스니아추출물, 다이소듐이디티에이, 캐모마일꽃오일, 차가버섯추출물, 자작나무수액, 1,2-헥산다이올, 부틸렌글라이콜,자일로오스, 프룩토올리고사카라이드, 리날룰",마이크로버블 약산성 젤 폼 100ml,"10,800원",스킨케어
8,비욘드,https://contents.lotteon.com/itemimage/LB/PD/10/02/16/57/_3/27/27/LBPD10021657_32727_1.jpg/dims/resizef/554X554,"정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 헥실데실에틸헥사노에이트, 나이아신아마이드, 펜타에리스리틸테트라에틸헥사노에이트, 베타인, 판테놀, 트레할로오스, 가시대나무수액, 자작나무수액, 포도덩굴수액, 하늘타리뿌리추출물, 개똥쑥추출물, 님잎추출물, 녹차추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 다이메티콘올, 사이클로펜타실록세인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이메티콘, 트라이소듐이디티에이, 트라이메틸실록시실리케이트, 레몬껍질오일, 베르가모트오일, 오렌지껍질오일, 멕시칸주니퍼오일, 라임전초오일, 시트랄, 리모넨, 리날룰",브라이트닝 밀키 토너 500ml,"13,300원",스킨케어
9,앤서나인틴,https://contents.lotteon.com/itemimage/LB/PD/10/01/67/27/_2/57/93/LBPD10016727_25793_1.jpg/dims/resizef/554X554,"유자껍질추출물(31.2%), 락토바실러스발효물, 비피다발효여과물, 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 사이클로펜타실록세인, 나이아신아마이드, 다이메티콘, 변성알코올, 펜틸렌글라이콜, 정제수, 클로렐라 불가리스추출물, 왕귤껍질오일, 레몬껍질오일, 소듐하이알루로네이트, 오렌지껍질오일, 유자오일(0.5ppm), 유자추출물(0.2ppm), 사이클로헥사실록세인, 실리카, 메틸메타크릴레이트크로스폴리머, 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 글루코오스, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아이소헥사데칸, 프룩토올리고사카라이드, 프룩토오스, 다이메티콘올, 폴리솔베이트80, 에틸헥실글리세린, 아데노신, 알루미늄하이드록사이드, 솔비탄올리에이트, 트라이에톡시카프릴릴실레인, 소듐파이테이트, 에칠아스코빌에텔, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 리놀레닉애씨드, 하이드로제네이티드레시틴, 토코페롤, 폴리글리세릴-10스테아레이트, 판테놀, 소듐아스코빌포스페이트, 바이오틴, 피리독신, 사이아노코발아민, 베타-카로틴, 리보플라빈, 티아민에이치씨엘, 잔탄검, 리모넨, 티타늄디옥사이드 (CI 77891).",유자 바이오엠 브라이트 톤업 올인원 130ml,"19,500원",스킨케어
10,해서린,https://contents.lotteon.com/itemimage/LB/PD/10/01/90/25/_2/91/27/LBPD10019025_29127_1.jpg/dims/resizef/554X554,"정제수, 글리세린, 코카미도프로필베타인, 소듐코코일알라니네이트, 데실글루코사이드, 아크릴레이트코폴리머, 라우릴하이드록시설테인, 폴리글리세릴-4카프레이트, 소듐클로라이드, 1,2-헥산다이올, 변성알코올, 코카마이드메틸엠이에이, 카프릴릴글라이콜, 다이프로필렌글라이콜, 트로메타민, 부틸렌글라이콜, 에틸헥실글리세린, 다이소듐이디티에이, 애플민트잎추출물, 페퍼민트잎추출물, 워터민트잎추출물, 아이리쉬모스가루, 아가, 은행나무잎추출물, 마이카, 티타늄디옥사이드, 병풀추출물, 적색산화철, 젤란검, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 프로필렌글라이콜라우레이트, 토코페릴아세테이트(150ppb), 에틸헥산다이올, 오렌지껍질오일, 리모넨",아침 비타 클렌징젤 200ml,"9,900원",스킨케어
